LL	ID	int	float	char	cadena	bool	void	if	else	while	do	return	break	continue	procedure	func	print	read	program	for	LNUM	LDEC	LCAD	LCAR	true	false	?	;	,	(	)	[	]	{	}	:	@	#	+	-	*	/	%	=	==	!=	<	>	<=	>=	&&	||	!	+=	-=	*=	/=	$
P	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	program~ID~:~D's~F's~{~S's~}			`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	""""
D's	`	T~LD~;~D's	T~LD~;~D's	T~LD~;~D's	T~LD~;~D's	T~LD~;~D's	`	`	`	`	`	`	`	`	&	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
LD	ID~As~LD'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	""""	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
LD'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	,~LD	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
As	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	=~E	`	`	`	`	`	`	`	`	`	`	`	`	`	&
F's	`	`	`	`	`	`	`	`	`	`	`	`	`	`	procedure~ID~(~Pm~)~{~S's~}~F's	func~ID~:~T~(~Pm~)~{~S's~}~F's	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
T	""""	int	float	char	cadena	bool	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	""""	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
Pm	`	T~ID~Pm'	T~ID~Pm'	T~ID~Pm'	T~ID~Pm'	T~ID~Pm'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
Pm'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	,~Pm	`	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
S's	S~S's	`	`	`	`	`	`	S~S's	`	S~S's	S~S's	S~S's	S~S's	S~S's	`	`	S~S's	`	`	S~S's	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	`	S~S's	S~S's	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
